feature1,feature2,target,label,orbital_period,equilibrium_temp,stellar_temp,dec,planet_radius,koi_model_snr,st_tmag,stellar_radius,transit_duration,insolation_flux,ra,transit_depth,planet_radius_missing,st_tmag_missing
,,,1,9.48803557,793,5455,48.141651,2.26,35.8,,0.927,2.9575,93.59,291.93423,615.8,False,
,,,1,54.4183827,443,5455,48.141651,2.83,25.8,,0.927,4.507,9.11,291.93423,874.8,False,
,,,0,1.736952453,1395,5805,48.28521,33.46,40.9,,0.791,2.40641,891.96,285.53461,8079.2,False,
,,,1,2.525591777,1406,6031,48.2262,2.75,66.5,,1.046,1.6545,926.16,288.75488,603.3,False,
,,,1,11.09432054,835,6046,48.22467,3.9,40.2,,0.972,4.5945,114.81,296.28613,1517.5,False,
,,,1,4.13443512,1160,6046,48.22467,2.77,15.0,,0.972,3.1402,427.65,296.28613,686.0,False,
,,,1,2.56658897,1360,6046,48.22467,1.59,47.7,,0.972,2.429,807.74,296.28613,226.5,False,
,,,0,7.36178958,1342,6227,42.151569,39.21,161.9,,1.958,5.022,767.22,298.86435,233.7,False,
,,,1,16.06864674,600,5031,48.37579,5.76,4304.3,,0.848,3.5347,30.75,286.99948,4914.3,False,
,,,1,2.470613377,1339,5820,49.316399,13.04,5945.9,,0.964,1.74319,761.46,286.80847,14231.0,False,
,,,1,2.204735417,2048,6440,47.969521,16.1,1741.5,,1.952,3.88864,4148.92,292.24728,6674.7,False,
,,,1,3.522498429,1521,6225,42.45108,14.59,50.6,,1.451,3.19843,1264.67,281.28812,9145.7,False,
,,,1,3.709214104,1206,5833,48.49556,1.16,622.1,,1.022,2.6302,500.46,295.64871,131.1,False,
,,,0,11.52144606,753,5795,47.597401,150.51,214.7,,0.848,3.6399,75.88,297.07993,17984.0,False,
,,,0,19.40393776,523,5043,47.635319,7.18,2317.0,,0.68,12.2155,17.69,289.25821,8918.7,False,
,,,0,19.22138894,698,6117,47.69035,49.29,303.4,,0.947,4.79843,55.97,295.81454,74284.0,False,
,,,0,16.46983774,595,5152,47.668701,7.94,87.2,,0.786,9.4378,29.61,297.15442,10479.0,False,
,,,1,9.27358173,649,4856,47.724449,2.47,65.4,,0.696,3.2875,41.85,288.13824,1288.3,False,
,,,1,6.02930329,678,4537,47.86327,2.85,48.2,,0.672,1.5821,50.04,283.71088,1912.7,False,
